title,genre,director,country,year
Восьмая жена Синей Бороды,романтическая комедия,Эрнст Любич," ,США",1938
Пур ле мерит,"военный,, ,пропаганда",Карл Риттер," ,Германия",
Воспитание крошки,,Говард Хоукс," ,США",1938
Этторе Фиерамоска,"исторический, военный, ,драма",Алесса́ндро Блазе́тти," ,Италия",1938
Я была авантюристкой,комедийный фильм,Раймон Бернар," ,Франция",1938
Буйная ватага,"детский фильм,, ,комедия",Александр Попов," ,СССР,/, ,Азербайджанская ССР",1937
Шпунц,комедийный фильм,"Марсель Паньоль,[1],[2]"," ,Франция",1938
Ящик Пандоры,драма,Георг Вильгельм Пабст," ,Германия",1929
Бродвейская мелодия 1938 года,Музыкальный фильм,Рой Дель Рут," ,США",1937
Экспонат из паноптикума,драма,Георгий Стабовой," ,СССР",1929
Юдифь и Олоферн,пеплум,Бальдассарре Негрони ," ,Италия",1929
Юнона и павлин,драма,Альфред Хичкок," ,Великобритания",1929
Эротикон,"мелодрама,, ,драма",Густав Махаты," ,Чехословакия",1929
Шкурник,сатирическая комедия,Николай Шпиковский," ,СССР",1929
Шквал,драма,Александр Корда," ,США",1929
Шестнадцатый,драма,Патвакан Бархударян," ,СССР",1929
Чудо над Вислой,"исторический фильм, ,Драма",Ричард Болеславский," ,Польша",1921
Эльдорадо,авангард,Марсель Л’Эрбье," ,Франция",1921
Яношик,"драма,, ,исторический фильм,, ,биографический фильм",Ярослав Сякель," ,Чехословакия, ",1921
Шейх,"приключенческий фильм,драма,мелодрама",Джордж Мелфорд," ,США",1921
Проклятие человечества,"приключение,немое кино","Рихард Айхберг,[de]",Германия,1920
Aladdin's Other Lamp,"фэнтези,, ,комедия,, ,семейный","Джон Х. Коллинз,[d],[1]"," ,США","25 июня, ,1917"
Человек-зверь,"драма,мелодрама",Чеслав Сабинский,РСФСР,1917
Ястребиное гнездо,драматический фильм,"Сабинский, Чеслав Генрихович"," ,Российская империя",1916
"Ямщик, не гони лошадей","драма, (новелла)",Евгений Бауэр," ,Российская империя",1916
Харакири,драма,Фриц Ланг," ,Германия",1919
The Old Bookkeeper,драматический фильм,Дэвид Уорк Гриффит," ,США",1912
Шерлок Холмс,"криминальный фильм,драматический фильм,немое кино,экранизация литературного произведения,[d],фильм-тайна","Артур Бертелет,Уильям Постэнс, (помощник режиссёра)"," ,США",1916
Чья вина?,драма,Андрей Андреев," ,Российская империя",1916
Шахматы жизни,реалистическая драма,Александр Уральский,Российская империя,1916
The Eternal Mother,драматический фильм,Дэвид Уорк Гриффит," ,США",1912
Мятежная луна,фантастика,Зак Снайдер," ,США",2023
Незваные,фолк-хоррор,Джон Райт," ,Ирландия, ,Великобритания",2023
Чебурашка 2,,Дмитрий Дьяченко," ,Россия",2025
Форсаж 11,боевик,Луи Летерье," ,США",2025
Невидимая красота,документальный фильм,,,2023
Нападение на Рио Браво,вестерн,Джо Корнет,"США,Россия",2023
Наполеон,"эпическая, ,историческая драма",Ридли Скотт,,2023
Наследие,"социально-метареалистическая ,драма,[1]",Роман Михайлов," ,Россия",2023
Тихое место 3,"ужасы,, ,фантастика,, ,триллер","Майкл Сарноски,[d]"," ,США",2025
Фантастическая четвёрка,,Мэтт Шекман," ,США",2025
Страсти Христовы: Воскресение,Драма,Мел Гибсон," ,США",
Финист. Первый богатырь,,Дмитрий Дьяченко," ,Россия",2025
Майкл,биографический фильм,Антуан Фукуа," ,США","18 апреля, ,2025"
Спаун,супергеройский фильм,Тодд Макфарлейн," ,США",2025
Супермен: Наследие,супергеройский фильм,Джеймс Ганн," ,США",2025
Пророк. История Александра Пушкина,,Феликс Умаров," ,Россия",2025
Майнкрафт,приключенческий фильм,Джаред и Джеруша Хесс," ,США",2025
М3ГАН 2.0,"научно-фантастический, ,фильм ужасов","Джерард Джонстоун,[d]"," ,США, ,Великобритания",
Как приручить дракона,"фэнтезийный, ,боевик",Дин Деблуа," ,США",2025
Животные,Драма,Бен Аффлек," ,США",2025
Грязная игра,"криминальный триллер,[d]",Шейн Блэк," ,США",
Грязные танцы,мелодрама,Джонатан Ливайн,,2025
Капитан Америка:,,"Джулиус Она, , ,(англ.), (,рус."," ,США",2025
Будущий фильм Пола Томаса Андерсона,,Пол Томас Андерсон," ,США",2025
Громовержцы,,Джейк Шрейер," ,США",2025
Бэтмен. Часть 2,супергеройский фильм,Мэтт Ривз," ,США",2025
Миссия невыполнима 8: Смертельная расплата. Часть вторая»,"шпионский, ,боевик",Кристофер Маккуорри," ,США",2025
На земле святых и грешников,фильм-триллер,Роберт Лоренц," ,США, ,Ирландия,[3]","2023,6 сентября, ,2023,[1]"
Нандор Фодор и говорящий мангуст,,"Adam Sigal,[d]",Великобритания,2023
"На солнце, вдоль рядов кукурузы",драма,Сарик Андреасян,Россия,2023
Аватар 3,"эпический фильм,научная фантастика,боевик,приключения,фэнтези",Джеймс Кэмерон," ,США",2025
Белоснежка,"мюзикл,фэнтези",Марк Уэбб," ,США",
Мятежная Луна — Часть первая: Дитя огня,"эпическая, ,космическая опера",Зак Снайдер," ,США",2023
На Адаманте,документальный фильм,Николас Филибер," ,Франция,[2], ,Япония,[2]","2023,19 октября, ,2023,[1],14 сентября, ,2023"
Мэгги Мур(ы),"криминальный фильм,чёрная комедия,[d]",Джон Слэттери," ,США",2023
Музыка,"драматический фильм,[5],[6]","Ангела Шанелек,[7],[5]"," ,Германия,[7],[5], ,Франция, ,Сербия","21 февраля, ,2023,[1],[2],8 марта, ,2023,[3],4 мая, ,2023,[4]"
Моя пиратская свадьба,"романтическая комедия,боевик,романтический фильм,комедийный боевик","Джейсон Мур,[d]"," ,США","27 января, ,2023"
Мой Хатико,драма,Сюй Ан," ,Китай",2023
Молоко матери,,"Инара Колмане,[d]"," ,Латвия",2023
Блэйд,,"Ян Деманж,[en]"," ,США",2025
Монстр,драма,Хирокадзу Корээда,Япония,2023
Моё преступление,"комедийная драма,[1],полицейский фильм,[d],[1]",Франсуа Озон," ,Франция",2023
Могучие Рейнджеры: Однажды и навсегда,"приключение,, ,фантастика",Чарли Хэскелл," ,США",2023
Миссия невыполнима: Смертельная расплата,"шпионский, ,боевик",Кристофер Маккуорри," ,США",2023
Миссия Ассасина,"боевик,триллер,криминал",Джесси Атлас," ,США",2023
Мизантроп,"фильм-триллер,[2],[3],[…],полицейский фильм,[d],[2],[4],боевик,[3],[5],[…]",Дамиан Сифрон," ,США",2023
Микулай,"драматический фильм,фильм-триллер",," ,Россия",2023
Мег 2: Бездна,"научно-фантастический, ,боевик",Бен Уитли," ,США, ,Китай",
Мертвецам не больно,,Вигго Мортенсен," ,США","8 сентября, ,2023"
«Между отчаянием и надеждой»,Документальное кино,Анна Барсукова," ,Россия",2023
Мёртвый сезон,драматический фильм,Стефан Бризе," ,Франция",2023
Материнское воскресенье,драматический фильм,Эва Юссон," ,Великобритания","9 июля, ,2021,14 октября, ,2021,24 ноября, ,2022,[1],23 декабря, ,2021,4 октября, ,2023,[2]"
Место преступления: Азра,криминальный фильм,"Доминик Хартль,[d]"," ,Австрия, ,Германия","29 мая, ,2023"
Маэстро,биографический фильм,Брэдли Купер," ,США",2023
Маргиналка,"криминальный фильм,[2],фэнтезийный фильм,[2]",Фэйбл Сигл," ,США",
Манодром,"драматический фильм,фильм-триллер","Джон Тренгов,[d]"," ,Великобритания, ,США",2023
Май декабрь,"драматический фильм,[2],романтический фильм,[2]",Тодд Хейнс," ,США","20 мая, ,2023,17 ноября, ,2023,[1],1 декабря, ,2023,[1]"
Лютер: Павшее солнце,"полицейский фильм,[d],драматический фильм,фильм-триллер",Джэми Пэйн," ,США",2023
Луна,научно-фантастический фильм,Ким Ён Хва," ,Республика Корея",2023
Любовь с первого взгляда,"экранизация романа,[d],романтическая комедия","Vanessa Caswill,[d]"," ,США, ,Великобритания,[1]","15 сентября, ,2023"
Любовь-морковь: Восстание машин,"комедийный фильм,[1]",Андрей Волгин," ,Россия",2023
Люби снова,"комедия,мелодрама,Поп","Джеймс С. Строуз,[d]"," ,США","12 мая, ,2023,25 мая, ,2023,[4],7 июня, ,2023,12 мая 2023"
Любо,драматический фильм,"Giorgio Diritti,[d]"," ,Италия, ,Швейцария",2023
Лимб,криминальная драма,"Иван Сен,[d]"," ,Австралия",2023
Ли,биография,Эллен Курас," ,США","9 сентября, ,2023,6 декабря, ,2023,[1]"
Крупный улов,,Брайан Хелгеленд," ,США",2023
Кто убил BlackBerry,докудрама,Мэтт Джонсон," ,Канада",2023
Кровь за кровь,"экшн,, ,триллер",Мэтью Нэйбл,,2023
"Кто угодно, но не ты",романтическая комедия,Уилл Глак," ,США",2023
Крушение,остросюжетный боевик,Жан-Франсуа Рише," ,США",2023
Крик. Ночь перед Рождеством,"рождественский фильм,[d],комедийный фильм,слэшер","Тайлер Макинтайр,[d]"," ,США",2023
Крик 6,слэшер,"Мэтт Беттинелли-Олпин,Тайлер Джиллетт"," ,США",
Краска,"независимый кинематограф,комедийный фильм","Брит Макадамс,[d]"," ,США",2023
Кратер,"научно-фантастический фильм,приключенческий фильм","Кайл Патрик Альварез,[d]"," ,США",2023
Крид 3,"спорт,, ,драма",Майкл Б. Джордан," ,США",
Король неба,военный фильм,Лю Сяоши," ,Китай",2023
Кошки-мышки,"экранизация литературного произведения,[d],чёрная комедия,[d],психологический фильм-триллер,[d]",Сюзанна Фогель," ,США",2023
Корабль призраков,Фильм ужасов,Gary Shore," ,Великобритания",2023
Контроль,"боевик,фильм-триллер",," ,Великобритания",2023
Команданте,"исторический фильм,драматический фильм,военный фильм","Эдоардо Де Анджелис,[d]"," ,Италия, ,Бельгия","2023,[1]"
"Конец, с которого мы начинаем","экранизация романа,[d],фильм про выживание",Махалия Бело," ,Великобритания",2023
Y2K,"комедийный фильм,[1]","Кайл Муни,[d],[1]"," ,США",
Колбаса Митрофана Аксёнова,"документальный,биографический,мокьюментари",Алексей Федорченко," ,Россия",2023
Sommartider – Filmen om Gyllene Tider,"биографический фильм,музыкальный фильм,драматический фильм","Пер Симонссон,[d]"," ,Швеция",2024
Копенгагена не существует,"драматический фильм,[2]","Мартин Сковбьерг,[d],[3]"," ,Дания,[3]",2023
Колодец чудес,"фэнтезийный фильм,драматический фильм,семейный фильм",Влад Марсавин," ,США, ,Италия",2023
Dance first,"драма,биография",Джеймс Марш," ,Великобритания","7 марта, ,2024,[1]"
L’Amour ouf,"драматический фильм,романтический фильм,музыкальный фильм,романтическая комедия",Жиль Леллуш," ,Франция",2024
"Я, Победа и Берлин","кинокомедия,, ,дорожное кино",Ольга Ряшина," ,Украина",2024
Я видел свечение телевизора,фильм ужасов,"Джейн Шёнбрун, , ,(англ.), (,рус."," ,США",2024
Это не я,"драма,биография",Леос Каракс," ,Франция",2024
Я — капитан,"драматический фильм,[4],[8],[…],приключенческий фильм,[9],[1],social drama,[d],[8],фильм про выживание,[8]","Маттео Гарроне,[4],[8],[…]"," ,Италия,[4],[8],[…], ,Бельгия,[4],[8],[…], ,Франция,[4],[8],[…], ,Люксембург,[4], ,США,[1]","6 сентября, ,2023,[1],7 сентября, ,2023,[2],[3],[…],16 ноября, ,2023,[1],3 января, ,2024,[4],[5],[…],4 января, ,2024,[3],10 января, ,2024,[6],15 февраля, ,2024,[7],8 марта, ,2024,[1]"
Чужой: Ромул,"научно-фантастический, ,фильм ужасов",Феде Альварес," ,США",2024
Эммануэль,эротика,Одри Диван,,"2024,[1]"
Эль Муэрто,супергеройский фильм,"Хонас Куарон,[en]"," ,США",
Электрический штат,"научно-фантастический фильм,экранизация романа,[d]","Энтони Руссо,[d],Джо Руссо,[d]"," ,США",2024
Эдем,триллер,Рон Ховард," ,США",2024
Эбигейл,фильм ужасов,"Мэттью Беттинелли,[d],Тайлер Джиллетт,[d]"," ,США, ,Великобритания, ,Ирландия",2024
Цена денег: Приключение Ларго Винча,"приключенческий фильм,боевик,триллер","Оливье Массе-Депасс,[d]"," ,Франция, ,Бельгия",2024
Цвет лиловый,"драматический фильм,история взросления,историческая драма,экранизация романа,[d],музыкальный фильм",Блитц Базавуле," ,США","25 декабря, ,2023,18 января, ,2024,19 января, ,2024"
Риддик: Фурия,"фантастика,боевик,триллер",Дэвид Туи," ,США",2024
Холоп 2,комедия,Клим Шипенко," ,Россия",2024
Холодное хранилище,"экранизация романа,[d],фильм-триллер","Джонни Кэмпбелл,[d]"," ,США",2024
Хидэо Кодзима: Соединяя миры,,Глен Милнер," ,Великобритания",2024
Ужасающий 3,слэшер,Дэмиен Леоне," ,США",2024
Урожай,,Афина Рахель Цангари," ,Германия, ,Великобритания, ,США",
Фуриоса: Хроники Безумного Макса,"постапокалиптический, ,приключенческий боевик",Джордж Миллер," ,Австралия, ,США",2024
Хеллбой: Горбун,"кинофантастика,боевик",Брайан Тейлор," ,США",2024
Тихое место: День первый,фильм ужасов,Майкл Сарноски," ,США",2024
Территория зла,остросюжетный боевик,Уильям Юбэнк," ,США",
Тельма,кинокомедия,Джош Марголин," ,США","18 января, ,2024"
Сто лет тому вперёд,фантастика,Александр Андрющенко," ,Россия",2024
Странные сказки,,"Райан Флек,[d],Анна Боден,[d]"," ,США","18 января, ,2024"
Такие мелочи,,"Тим Милантс,[d]"," ,Ирландия, ,Бельгия",2024
Таро,фильм ужасов,"Спенсер Коэн,[d],Anna Halberg,[d]"," ,США","8 мая, ,2024"
Стокгольмская кровавая баня,"драматический фильм,боевик,исторический фильм",Микаэль Хофстрём," ,Швеция, ,Дания","19 января, ,2024"
Книжный клуб: Новая глава,"романтическая комедия,мелодрама",Билл Холдерман," ,США","11 мая, ,2023,[1],[2],12 мая, ,2023,[2],17 мая, ,2023,[2]"
Клипмейкеры,комедия,Григорий Константинопольский," ,Россия",2023
Кокаиновый медведь,,Элизабет Бэнкс," ,США",
Клетка ищет птицу,драматический фильм,"Малика Мусаева,[d]"," ,Франция, ,Россия",2023
Кино 3.0,документальный фильм,"Никита Карцев,Лана Дружинина"," ,Россия",2023
Кладбище домашних животных: Кровные узы,фильм ужасов о сверхъестественном,Линдзи Бир," ,США",2023
Кентавр,триллер,Кирилл Кемниц," ,Россия",2023
Квартира 7А,"фильм ужасов,фильм-триллер","Натали Эрика Джеймс,[d]"," ,США",2023
К тебе или ко мне?,романтическая комедия,"Брош Маккенна, Алин"," ,США","10 февраля, ,2023"
Как заниматься сексом,"драматический фильм,[1]","Молли Мэннинг Уокер,[d],[2]"," ,Великобритания,[2], ,Греция,[2]",2023
Искусство по понятиям,"чёрно,-,комедийный триллер",Николь Паон," ,США",2023
Капитан Марвел 2,супергеройский фильм,"Ниа Дакоста,ru,en"," ,США",2023
Избави нас. Одержимые,фильм ужасов,"Крю Эннис,Ли Рой Кунц"," ,США",2023
Ингеборг Бахман: Путешествие в пустыню,"биографический фильм,драматический фильм",Маргарета фон Тротта," ,Австрия, ,Люксембург, ,Швейцария, ,Германия","19 октября, ,2023,26 октября, ,2023,[1]"
Изгоняющий дьявола: Верующий,,Дэвид Гордон Грин," ,США",2023
"Иди ко мне, детка",романтическая комедия,Ребекка Миллер," ,США",2023
Индиана Джонс и Колесо судьбы,приключенческий боевик,Джеймс Мэнголд," ,США",2023
Прекрасные дни,драма,Вим Вендерс," ,Япония,[1], ,Германия,[1]",2023
Клуб Зеро,драма,Джессика Хаузнер," ,Австрия, ,Германия, ,Великобритания, ,Франция, ,Дания",2023
Игра в свидание,триллер,Анна Кендрик," ,США",2023
Гена Васильевич меняет всё,"комедия,пародия,фантастика,приключенческий фильм,музыкальный фильм","Михаил Семичев,Роман Ким"," ,Россия",
И не подумай прийти на мою бат-мицву,драмеди,Сэмми Коэн," ,США",2023
Злобные маленькие письма,комедия,"Теа Шэррок,[d]"," ,Великобритания",2023
Зона интересов,драма,Джонатан Глейзер," ,Великобритания,[3],[4],[…], ,Польша,[3],[4],[…], ,США,[3],[4],[…]",2023
Зла не существует,драматический фильм,Рюсукэ Хамагути," ,Япония",2023
Зелёная граница,"драматический фильм,[1]","Агнешка Холланд,[1]"," ,Польша,[1], ,Чехия,[1], ,Франция,[1], ,Бельгия,[1]","5 сентября, ,2023,22 сентября, ,2023"
Зверь в джунглях,драматический фильм,"Патрик Шиа,[d],[1]"," ,Франция,[1], ,Бельгия,[1], ,Австрия,[1]","16 августа, ,2023,[1]"
Звёзды в полдень,"экранизация романа,[d]",Клер Дени," ,Франция","25 мая, ,2022,14 октября, ,2022,14 июня, ,2023"
Жикина династия: Возвращение,,,,
За нас с вами,драма,Андрей Смирнов," ,Россия",2023
Заклятие. Зло внутри,фильм ужасов о сверхъестественном,Бишал Дутта," ,США",2023
Запретная страсть,драма,Катрин Брейя,Франция,2023
Женщина с…,драматический фильм,"Малгожата Шумовская,Михал Энглерт,[d]"," ,Польша, ,Швеция",2023
Ещё одна настоящая любовь,мелодрама,Энди Фикмен," ,США",2023
Жанна Дюбарри,"исторический фильм,[5],биографический фильм,драматический фильм,[5]","Майвенн,[5]"," ,Франция,[5], ,Великобритания, ,Бельгия",2023
"Дрозд, дрозд, ежевика",драматический фильм,"Элене Навериани,[2],[3]"," ,Швейцария,[3],[2], ,Грузия,[2],[3]",2023
Звук свободы,боевик,"Алехандро Гомес Монтеверде,[en]"," ,США",2023
Ёлки 10,комедия,"Александра Лупашко,Сергей Наумов"," ,Россия",2023
Дочь болотного короля,"психологический фильм-триллер,[d]",Нил Бёргер," ,США","6 октября, ,2023,2 ноября, ,2023,[2]"
Дыхание,драма,Роман Каримов," ,Россия",
Дурные деньги,комедийная драма,Крейг Гиллеспи," ,США",2023
Домашняя вечеринка,комедия,"Calmatic,[en]"," ,США",2023
